|TABLE_NAME                 |COLUMN_NAME              |DATA_TYPE |
|---------------------------|-------------------------|----------|
|addresses                  |address_id               |int       |
|addresses                  |customer_id              |int       |
|addresses                  |address                  |varchar   |
|addresses                  |name                     |varchar   |
|customers                  |customer_id              |int       |
|customers                  |name                     |varchar   |
|customers                  |address                  |varchar   |
|customers                  |phone                    |int       |
|customers                  |email                    |varchar   |
|customers                  |username                 |varchar   |
|customers                  |password                 |char      |
|customersupport            |ticket_id                |int       |
|customersupport            |package_id               |int       |
|customersupport            |issue_type               |enum      |
|customersupport            |ticket_status            |enum      |
|customersupport            |created_at               |timestamp |
|customersupport            |updated_at               |timestamp |
|customersupport            |assigned_employee        |int       |
|deliverypoint              |delivery_point_id        |int       |
|deliverypoint              |delivery_point_address_id|int       |
|deliverypoint              |special_instructions     |mediumtext|
|deliverypoint              |delivery_type            |enum      |
|deliverypoint              |entrance_address_id      |int       |
|employees                  |employee_id              |int       |
|employees                  |name                     |varchar   |
|employees                  |address                  |varchar   |
|employees                  |phone                    |int       |
|employees                  |email                    |varchar   |
|employees                  |ssn                      |int       |
|employees                  |username                 |varchar   |
|employees                  |password                 |varchar   |
|employees                  |employment_location      |varchar   |
|employees                  |employee_role            |varchar   |
|employees                  |manager_id               |int       |
|insurancepolicies          |insurance_id             |int       |
|insurancepolicies          |package_id               |int       |
|insurancepolicies          |insured_value            |decimal   |
|insurancepolicies          |insurance_fee            |int       |
|insurancepolicies          |policy_terms             |mediumtext|
|insurancepolicies          |claim_status             |enum      |
|insurancepolicies          |claim_date               |timestamp |
|insurancepolicies          |processed_by_employee_id |int       |
|notifications              |notification_id          |int       |
|notifications              |user_id                  |int       |
|notifications              |message                  |mediumtext|
|notifications              |sent_at                  |timestamp |
|notifications              |status                   |enum      |
|notifications              |type                     |enum      |
|packages                   |package_id               |int       |
|packages                   |sender_id                |int       |
|packages                   |receiver_id              |int       |
|packages                   |weight                   |decimal   |
|packages                   |dimensions               |varchar   |
|packages                   |shipping_class           |enum      |
|packages                   |cost                     |decimal   |
|packages                   |status                   |enum      |
|packages                   |address_to               |varchar   |
|packages                   |address_from             |varchar   |
|postoffices                |post_id                  |int       |
|postoffices                |address                  |varchar   |
|postoffices                |manager_id               |int       |
|refundrequests             |refund_id                |int       |
|refundrequests             |customer_id              |int       |
|refundrequests             |package_id               |int       |
|refundrequests             |reason                   |mediumtext|
|refundrequests             |refund_amount            |decimal   |
|refundrequests             |refund_status            |enum      |
|refundrequests             |processed_date           |timestamp |
|registeredaddresswithpoints|delivery_point_address   |varchar   |
|registeredaddresswithpoints|delivery_point_id        |int       |
|routes                     |route_id                 |int       |
|routes                     |employee_id              |int       |
|routes                     |destination              |varchar   |
|routes                     |departure_time           |date      |
|routes                     |arrival_time             |date      |
|routes                     |tracking_log             |varchar   |
|routes                     |status                   |enum      |
|routes                     |location                 |varchar   |
|routes                     |stop_id                  |int       |
|routes                     |origin                   |varchar   |
|routes                     |truck                    |int       |
|routes                     |estimated_duation        |int       |
|stops                      |stop_id                  |int       |
|stops                      |route_id                 |int       |
|stops                      |address                  |varchar   |
|stops                      |special_instructions     |mediumtext|
|stops                      |previous_stop_id         |int       |
|stops                      |next_stop_id             |int       |
|supplies                   |supply_id                |int       |
|supplies                   |name                     |varchar   |
|supplies                   |category                 |enum      |
|supplies                   |price                    |decimal   |
|supplies                   |stock_quantity           |int       |
|supplytransactions         |supply_transaction_id    |int       |
|supplytransactions         |user_id                  |int       |
|supplytransactions         |supply_id                |int       |
|supplytransactions         |quantity                 |int       |
|supplytransactions         |total_cost               |decimal   |
|supplytransactions         |purchase_date            |datetime  |
|trackinghistory            |tracking_id              |int       |
|trackinghistory            |package_id               |int       |
|trackinghistory            |warehouse_location       |int       |
|trackinghistory            |post_office_location     |int       |
|trackinghistory            |date                     |timestamp |
|trackinghistory            |status                   |enum      |
|trackinghistory            |updated_at               |timestamp |
|trackinghistory            |route_id                 |int       |
|transactions               |transaction_id           |int       |
|transactions               |customer_id              |int       |
|transactions               |payment_type             |varchar   |
|transactions               |shipping_speed           |varchar   |
|transactions               |number_of_items          |decimal   |
|transactions               |payment_amount           |decimal   |
|warehouses                 |ware_id                  |int       |
|warehouses                 |address                  |varchar   |
